id_text,text_name,version,l_no,text
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 1,manû[unit]N ṣarpu[silver]N ina[in]PRP manû[unit]N ša[of]DET tamkāru[merchant]N
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 2,ša[of]DET Indibi[1]PN
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 3,ina[in]PRP pānu[front]N Arbayu[1]PN
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 4,Tašritu[Tishri]MN ṣarpu[silver]N ina[in]PRP qaqqadu[head]N tadānu[give]V
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 5,šumma[if]MOD lā[not]MOD tadānu[give]V
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 6,šiqlu[unit]N ana[to]PRP manû[unit]N ša[of]DET arhu[month]N
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),o 7,kirû[garden]N ša[of]DET tillatu[vine]N zaqpu[erected]AJ
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),b.e. 8,ina[in]PRP Kapar-Bel-ahhe[1]GN ṭāhu[adjacent-to]PRP kirû[garden]N ša[of]DET
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),b.e. 9,Ha-bassi[1]PN ṭāhu[adjacent-to]PRP Seʾ-barakka[1]PN
saao/saa06/P335018,SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),SAA 06 097. Lady Indibi Loans 17 Minas of Silver (693-V-9) (ADD 0066),r 1,ṭāhu[adjacent-to]PRP kirû[garden]N rabû[big-one]N ṭupšarru[scribe]N
